Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,2,Battery_Cell,
"C0, C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C35, C37, C4, C40, C42, C47, C48, C5, C51, C52, C53, C54, C55, C58, C6, C62, C64, C67, C7, C70, C71, C74, C75, C8, C9",0201,52,100n,
"C20, C34, C36, C38, C39, C41, C43, C44, C45, C46, C49, C50, C56, C57, C59, C63, C66",0603,17,10u,
"C60, C61",0201,2,C_Small,
"C65, C68",0201,2,1u,
C69,0603,1,22u,
"C72, C73",0201,2,47n,
D1,0402,1,LED,
J1,RJ45_Hanrun_HR911105A_Horizontal,1,RJ45_Hanrun_HR911105A_Horizontal,
J2,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_A,
J3,microSD_HC_Molex_104031-0811,1,Micro_SD_Card,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J5,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,1,AudioJack4,
"J6, J7, J8, J9",USB_C_Receptacle_Molex_105450-0101,4,USB_C_Receptacle,
"L1, L2, L3, L4, L5, L6",1008,6,2.2u,
Q1,SOT-23,1,2N7002,
Q2,DFN-8_L3.3-W3.3-P0.65-BL,1,AON7262e,C176755
R1,0201,1,240,
"R11, R17, R2, R26, R27, R3, R30, R31, R32, R33, R35, R38, R40, R5, R6, R8, R9",0201,17,10k,
"R12, R41",0201,2,35k,
"R13, R14, R15, R18, R19, R20",0201,6,R,
R16,0201,1,56k,
R21,0402,1,10m,
"R22, R23, R24, R25, R34",0201,5,100,
"R28, R29",0201,2,0R,
"R36, R37, R39",0201,3,5.1k,
R4,0201,1,6.6k,
TP1,TestPoint_Pad_D1.0mm,1,~{UART0_CTS},
"TP10, TP11, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,9,TestPoint,
TP2,TestPoint_Pad_D1.0mm,1,~{UART0_RST},
U1,TFBGA-96_L13.0-W8.0-R16-C6-P0.80-TL,1,NT5CB256M16ER-FL,C2841154
U10,VSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,1,BQ29209DRBR,C139352
U2,TFBGA395_L14.0-W14.0_RK3328,1,RK3328,C2932939
U3,TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,1,TPD12S016PWR,C201665
U4,SOT-23-6,1,TPS565201,
U5,WQFN-26_L4.0-W3.5_BQ25690RBAR,1,BQ25690RBAR,C53283868
"U6, U7, U8, U9",SOT-563-6_L1.6-W1.2-P0.50-LS1.6-BL,4,TPS563252DRLR,C19188399
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
